記事ID,収集日時(UTC),ソース,タイトル,URL,公開日,概要(先頭200字),企業名,軸1_組織,軸2_制度仕組み,軸3_コンプライアンス,軸4_業務プロセス,軸5_データマネジメント,軸6_生成AI活用,軸7_業務統合,主要評価軸,推定レベル,判定根拠
737df88f1875,2026/5/25 5:17,PR TIMES,【日立市と日立製作所による共創プロジェクト】日立市で約7万人の健康データの集約・分析と、健康アプリを活用したAI分析実証の結果に基づき、新たな健康施策を推進,https://prtimes.jp/main/html/rd/p/000000179.000042324.html,2026/5/25,"[株式会社日立システムズ]
[画像1: https://prcdn.freetls.fastly.net/release_image/42324/179/42324-179-c7118eb4eb061de831ec10db89c61c2b-482x271.jpg?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=",株式会社日立システムズ,2,1,2,2,3,2,2,データマネジメント,3,健康データ集約・分析とアプリ活用実証で、データ収集・品質・アクセス性・管理体制の強化が中心。
c668914f8dac,2026/5/25 5:17,PR TIMES,【日立市と日立製作所による共創プロジェクト】日立市で約7万人の健康データの集約・分析と、健康アプリを活用したAI分析実証の結果に基づき、新たな健康施策を推進,https://prtimes.jp/main/html/rd/p/000000583.000067590.html,2026/5/25,"[株式会社 日立製作所]
[画像1: https://prcdn.freetls.fastly.net/release_image/67590/583/67590-583-83add3313d5ac3462dd2f4b5326a2231-1280x720.jpg?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=",株式会社日立製作所,3,2,3,3,3,2,3,生成AI活用対象の業務プロセス,3,健康データ集約・分析とAI活用による健康施策推進は、業務プロセス定義・標準化・品質管理が進んでいることを示唆します。
63d63bc75cc3,2026/5/25 5:17,PR TIMES,freee、「シャドーAI」の急速な普及に伴い情シス担当者を対象とした「シャドーAI」と「シャドーIT」の比較に関する調査結果を公開,https://prtimes.jp/main/html/rd/p/000002078.000006428.html,2026/5/25,"[freee]
フリー株式会社（本社：東京都品川区、CEO：佐々木大輔、以下「freee」）は、全国の情報システム部門（以下「情シス」）の担当者633名を対象に、「シャドーAI（※1）」および「シャドーIT（※2）」に関する実態調査...",freee、フリー株式会社,1,2,2,1,0,1,1,組織,1,シャドーAIの普及を調査するも、組織全体での管理体制は属人的・場当たり的。
aff87139b8e5,2026/5/25 5:17,PR TIMES,トヨクモ『FormBridge』、AIで回答完了画面を自動生成可能に,https://prtimes.jp/main/html/rd/p/000000240.000032205.html,2026/5/25,"[トヨクモ株式会社]
【シンプルだから、みんな使える。カンターン トヨクモ】

誰でも簡単に使えるビジネス向けのクラウドサービスを提供するトヨクモ株式会社（本社：東京都品川区、代表取締役社長：山本 裕次、以下トヨクモ）は、...",トヨクモ株式会社,1,1,1,2,1,2,3,生成AIの業務プロセスへの統合,3,回答完了画面の自動生成は、既存業務プロセスへのAI統合と最適化の初期段階と考えられるため。
de7ccd2fa5d9,2026/5/25 5:17,PR TIMES,Sansan ビジネスAIをテーマとした新TVCMを5月25日より放映開始,https://prtimes.jp/main/html/rd/p/000000834.000049627.html,2026/5/25,"[Sansan株式会社]
[画像: https://prcdn.freetls.fastly.net/release_image/49627/834/49627-834-37b7b0a391c80a8b87ef0c69315f033b-1534x803.jpg?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=b",Sansan株式会社,1,0,0,0,0,1,0,組織,1,CM放映はAI活用への関心を高める試みだが、具体的な体制や制度への言及はない。組織の意識醸成初期段階と判断。
0c038e81a530,2026/5/25 5:18,PR TIMES,みずほFG、現場主導のAI開発を全社展開へ 金融機関基準のガバナンスを備えたAI開発基盤「Dify Enterprise」を構築,https://prtimes.jp/main/html/rd/p/000000011.000177612.html,2026/5/25,"[株式会社みずほフィナンシャルグループ]
　株式会社みずほフィナンシャルグループ（執行役社長：木原 正裕、以下、グループを総称し〈みずほ〉）は、全社的なAI活用推進に向け、非エンジニアでもAIエージェントを開発できる「Dify Enterprise」環境を構...",株式会社みずほフィナンシャルグループ,3,3,3,2,2,3,2,制度・仕組み,3,現場主導のAI開発基盤構築と金融機関基準のガバナンス整備により、全社展開を目指す体制を標準化・体系化している。
c0b74386196b,2026/5/25 5:18,PR TIMES,5/26（火）12:00～AIでスカウトの「質」は落ちない？ データが証明する「工数半減・反応率2倍」を実現するハイブリッド運用術！,https://prtimes.jp/main/html/rd/p/000000052.000061059.html,2026/5/25,"[株式会社Delight]
株式会社Delight（本社：東京都豊島区、代表取締役：新井崇徳）（以下「当社」）は、「AIでスカウトの「質」は落ちない？ データが証明する「工数半減・反応率2倍」を実現するハイブリッド運用術！」と題した無料...",株式会社Delight,2,2,1,3,3,3,3,生成AI活用対象の業務プロセス,3,スカウト業務プロセスを定義し、AIとのハイブリッド運用で成果を定量化。業務統合に着目している。
98d2f88d5868,2026/5/25 5:18,PR TIMES,リユースPCのリングロー、社内問い合わせ対応をAI化。Copilot Studio活用の「Ringrow総合窓口」を導入,https://prtimes.jp/main/html/rd/p/000000085.000165816.html,2026/5/25,"[リングロー株式会社]
リユースPCブランド「R∞PC（アールピーシー）」を展開するリングロー株式会社（本社：東京都豊島区、代表取締役：碇敏之、以下、リングロー）は、2026年5月1日、Microsoft Copilot Studioを活用した社内向けAIチ...",リングロー株式会社、Microsoft,2,2,2,2,1,3,3,生成AI活用,3,Copilot Studioによる社内問い合わせ対応AI導入は、AI活用レベル3に該当。組織・制度・プロセスも整備段階。
8d49b9a6a2cf,2026/5/25 5:18,PR TIMES,PCIソリューションズ「Voice AI Agent 導入支援サービス for Amazon Connect 」を提供開始,https://prtimes.jp/main/html/rd/p/000000026.000100145.html,2026/5/25,"[PCIソリューションズ株式会社]
PCIソリューションズ株式会社（本社：東京都港区、代表取締役社長：沼田 昌昭、以下「当社」）は、アマゾン ウェブ サービス（以下「AWS」）のクラウド型コンタクトセンター「Amazon Connect 」と生成AI（LLM）を...",PCIソリューションズ株式会社、アマゾン ウェブ サービス,2,2,1,2,1,3,3,生成AI活用,3,Amazon Connectと生成AIを連携させるサービス提供は、生成AI活用（モデル選定、運用）のレベル3に該当する。
71e5e6941c14,2026/5/26 12:55,PR TIMES,【先着50名限定】賃貸不動産エージェント「指名型」の部屋探しプラットフォーム『ちんたくん』がサービス提供を開始！,https://prtimes.jp/main/html/rd/p/000000004.000146293.html,2026/5/26,"[株式会社Avec]
[画像1: https://prcdn.freetls.fastly.net/release_image/146293/4/146293-4-9155cd8ffdcbe99f9dc634a7d9c76314-2880x1520.jpg?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=bou",株式会社Avec,1,1,1,2,1,2,2,生成AI活用,2,AIエージェントを活用した不動産仲介業務プロセスの自動化が始まった段階。基本方針の明文化と初期導入は確認できるが、全社標準化には至っていない。
0c018c91bc61,2026/5/26 12:55,PR TIMES,訪問看護専用AIアシスタント「KanGO」提供開始,https://prtimes.jp/main/html/rd/p/000000001.000178231.html,2026/5/26,"[株式会社TomoaZ]
[画像1: https://prcdn.freetls.fastly.net/release_image/178231/1/178231-1-9b7a7251eb023c65ee091dfd441c7596-1733x641.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=bo",株式会社TomoaZ,1,1,2,2,2,2,2,生成AI活用,2,医療現場向けAIアシスタントの提供開始。訪問看護業務サポートツール化が進行中。規制業界のため初期的なコンプライアンス対応も見られるが、運用体制は発展途上。
90e2585577d2,2026/5/26 12:55,PR TIMES,AIサーバー国内生産及びAIインフラ供給体制構築の現状に関するお知らせ,https://prtimes.jp/main/html/rd/p/000000056.000088876.html,2026/5/26,"[スターシーズ株式会社]
　スターシーズ株式会社（本社：東京都港区、代表取締役社長：鈴木雅順、東証スタンダード市場：コード番号3083、以下「当社」）は、このたび、高性能AIサーバーの国内生産体制及びAIインフラ向けサプライチェー...",スターシーズ株式会社,2,2,2,1,2,1,1,組織,2,AIインフラ供給体制構築の発表。基本方針と体制整備段階。国内生産体制構築により組織的コミットメント見られるが、運用実績は未確認。
6b249b1c5304,2026/5/26 12:55,PR TIMES,【6/10(水) 無料ウェビナー】ブラックボックス化した基幹システム刷新のまず最初に始めること ─ Claude Codeで読み解くAIリバースエンジニアリング,https://prtimes.jp/main/html/rd/p/000000018.000171947.html,2026/5/26,"[AICE株式会社]
[画像1: https://prcdn.freetls.fastly.net/release_image/171947/18/171947-18-804e4d6ce592bf481584f0e358dbaf4b-1548x1016.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=b",AICE株式会社,1,1,1,2,1,2,2,生成AI活用,2,Claude Codeを用いた基幹システムリバースエンジニアリング支援。LLMを活用した業務プロセス最適化の初期段階。導入事例紹介に留まる。
eca50ce6e555,2026/5/26 12:56,PR TIMES,HERPに応募が来ても、面接官の空きが無いとき、結局個別調整に逆戻りしてませんか？──Tasonal、HERPとのAI日程調整連携を大幅強化,https://prtimes.jp/main/html/rd/p/000000017.000143792.html,2026/5/26,"[株式会社SAIRAI]
[画像: https://prcdn.freetls.fastly.net/release_image/143792/17/143792-17-548a07553f41ceb078146ca513b67e0c-1280x720.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=b",株式会社SAIRAI、HERP,2,2,,3,,2,3,生成AIの業務プロセスへの統合,3,採用面接の日程調整プロセスにAIを統合し、標準化された業務運用を実現。HERP連携で全体最適化を推進している段階。
52e6616d1eb6,2026/5/26 12:56,PR TIMES,NE、ネクストエンジンAPIマニュアルを全面刷新。AIエージェントが参照しやすい開発ドキュメントへ,https://prtimes.jp/main/html/rd/p/000000055.000125456.html,2026/5/26,"[NE株式会社]
[画像: https://prcdn.freetls.fastly.net/release_image/125456/55/125456-55-1cf306102b81805c4f2ab24d9542ad23-1600x1000.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=boun",NE株式会社,,2,,2,2,2,2,生成AI活用,2,APIマニュアルをAIエージェント向けに刷新し、開発ドキュメントの標準化を進める。生成AI運用の基盤整備段階。
785c60fbcb37,2026/5/26 12:56,PR TIMES,シンカ・Xpotential・オーウェンの3社が連携し、改正保険業法を踏まえた保険募集モニタリング業務を支援,https://prtimes.jp/main/html/rd/p/000000284.000016795.html,2026/5/26,"[株式会社シンカ]
AIコミュニケーション統合プラットフォーム「カイクラ」を提供する株式会社シンカ（本社：東京都千代田区、代表取締役社長 CEO：江尻 高宏、以下「シンカ」）、セールスAIソリューションを展開する株式会社Xpoten...",株式会社シンカ、株式会社Xpotential、オーウェン,2,3,3,3,,2,3,コンプライアンス,3,改正保険業法対応のAI監視システム。規制要件を満たした標準化された保険募集モニタリング業務を実現。
09debecbbc21,2026/5/26 12:56,PR TIMES,Netskope、Google Cloud TPUを活用したAI Guardrailsソリューションを発表,https://prtimes.jp/main/html/rd/p/000000074.000137550.html,2026/5/26,"[Netskope Japan株式会社]
クラウドとAI時代に対応した最新のセキュリティとネットワーク技術で業界をリードするNetskope(https://www.netskope.com/jp/)（NASDAQ: NTSK）は、米国時間2026年4月22日、AIワークフローにおけるパフォーマンス...",Netskope、Netskope Japan株式会社,,,2,,,2,2,コンプライアンス,2,AIワークフローのガバナンス・ガードレール機能をGoogle TPUで提供。AI利用時のコンプライアンス・セキュリティ対応の基本手順を整備。
446e0bb3382e,2026/5/26 12:56,PR TIMES,Techvify、DENSO向け製造DX基盤を正式稼働――プロジェクト管理のデジタル化を実現,https://prtimes.jp/main/html/rd/p/000000003.000176284.html,2026/5/26,"[TECHVIFY JAPAN 株式会社]
AIを強みとするエンドツーエンドDXパートナーであるTechvify（ハノイ本社）は、2026年第1四半期、世界第2位の自動車部品メーカーであるDENSO向けに包括的なデジタルプロジェクト管理プラットフォームを開発し、正...",Techvify、TECHVIFY JAPAN 株式会社、DENSO,2,2,2,3,2,2,3,生成AIの業務プロセスへの統合,3,DENSO向けデジタルプロジェクト管理プラットフォームの正式稼働により、プロセスへのAI統合が標準化・体系化された段階にある。
6cf7f1efaf58,2026/5/26 12:56,PR TIMES,声で聞ける、画面が動く。- Webサイト向け AI 接客エージェント『AI Navigator』を Adevia が提供開始,https://prtimes.jp/main/html/rd/p/000000003.000183247.html,2026/5/26,"[株式会社Adevia]
[画像: https://prcdn.freetls.fastly.net/release_image/183247/3/183247-3-3a022b2c1b1da450e5fa1f9ba7de92dd-1200x630.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=bou",株式会社Adevia,1,1,1,2,1,2,2,生成AI活用,2,Webサイト向けAI接客エージェント『AI Navigator』の提供開始。生成AIモデルの選定・運用が基本的に実施されている段階。
321f310db37d,2026/5/26 12:56,PR TIMES,香川県警察およびソフトバンクと「犯罪被害防止に関する協定」を締結,https://prtimes.jp/main/html/rd/p/000000214.000008525.html,2026/5/26,"[BBSS株式会社]
AIとITサービスを通じて人と社会を“みまもる”BBSS株式会社（本社：東京都港区、代表取締役社長 兼 CEO：本多 晋弥、以下「BBSS」）は、香川県警察およびソフトバンク株式会社（以下「ソフトバンク」）と、「犯罪...",BBSS株式会社、香川県警察、ソフトバンク株式会社,2,2,3,2,2,2,2,コンプライアンス,3,犯罪被害防止に関する協定締結により、AI倫理・法令遵守が全社的に標準化・体系化された段階にある。
b3c32f0b3e81,2026/5/26 12:56,PR TIMES,HRテックは個別最適から全体最適へ。jinjerが挑む「人事データ×AI」革命を議論するPIVOTを公開,https://prtimes.jp/main/html/rd/p/000000475.000089626.html,2026/5/26,"[jinjer株式会社]
視聴URL：https://youtu.be/EdzWDHpORVo
[画像: https://prcdn.freetls.fastly.net/release_image/89626/475/89626-475-f82668c17493047960e3246f4c903489-1920x1080.jpg?width=536&amp;quality=85%2C75&amp",jinjer株式会社,2,2,1,2,3,2,2,データマネジメント,3,人事データとAIの統合を標準化・体系化。個別最適から全体最適への転換により、データ活用が体系化された段階。
f8b2e09d8b1d,2026/5/26 12:56,PR TIMES,【2026年最新版】食品EC業務、AI新時代で何が変わるか知ってますか。初級～上級まで使える実践プロンプト10選を無料公開,https://prtimes.jp/main/html/rd/p/000000056.000133764.html,2026/5/26,"[株式会社GOAT]
[画像: https://prcdn.freetls.fastly.net/release_image/133764/56/133764-56-9a52e9251120839e31bde22f65d594dc-1920x1080.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=bo",株式会社GOAT,1,1,,2,,2,2,生成AI活用対象の業務プロセス,2,食品EC業務へのAI活用事例。実践的なプロンプト提供で業務プロセス手順化段階。組織的取り組みは初期段階。
6f32cf2718c7,2026/5/26 12:56,PR TIMES,4名体制で商談化率60%台を実現。トレタがimmedioで夜間・休日の機会損失をゼロへ,https://prtimes.jp/main/html/rd/p/000000289.000106428.html,2026/5/26,"[株式会社immedio]
株式会社immedio（本社：東京都渋谷区、代表取締役：浜田 英揮、以下immedio）が提供する”決まる商談が自動で増える”AIインサイドセールス「immedio（イメディオ）」が、株式会社トレタ（本社：東京都渋谷区、代...",株式会社immedio、株式会社トレタ,2,2,,3,2,3,3,生成AIの業務プロセスへの統合,3,AIインサイドセールスで商談化率向上実現。小規模体制で業務に統合・運用され、定量的成果（60%台）確認される標準化段階。
be07c9aaa40d,2026/5/26 12:56,PR TIMES,ギブリー、Claude Code全社導入に向けた「AIネイティブカンパニー変革支援プログラム」を提供開始,https://prtimes.jp/main/html/rd/p/000000387.000002454.html,2026/5/26,"[株式会社ギブリー]
[画像1: https://prcdn.freetls.fastly.net/release_image/2454/387/2454-387-e1bebeba6d071fb73e24adf860cf3c2c-1200x630.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=boun",株式会社ギブリー,3,3,2,2,2,3,3,組織,3,全社的なAIネイティブカンパニー変革支援により、組織文化変革と体系的な導入推進を実施。
3b33cd7f578e,2026/5/26 12:56,PR TIMES,東大 松尾研発スタートアップ Portus AI、「広告運用代行サービス」の無料モニターを募集。AIスタートアップが大手広告代理店レベルの運用代行を広く提供できる理由とは？,https://prtimes.jp/main/html/rd/p/000000010.000136172.html,2026/5/26,"[Portus AI株式会社]
【無料モニター】お申し込みはこちら！↓
最先端AIを用いた広告運用を今すぐ体験(https://www.portus-ai.co.jp/ad-management)
AIスタートアップがなぜデジタル広告の代理業務を...",Portus AI株式会社,2,1,1,3,2,4,3,生成AI活用,4,最先端AI技術による広告運用代行で、高度な生成AI活用と業務プロセス統合を実現。
563b2d8d36ab,2026/5/26 12:56,PR TIMES,「WorkOn」、労務管理、勤怠管理、給与計算の機能を拡充。全ての人事情報を1つのプラットフォーム上で管理し、AIが人事労務業務を一気通貫で支援,https://prtimes.jp/main/html/rd/p/000000005.000175261.html,2026/5/26,"[株式会社On Technologies]
株式会社LegalOn Technologiesのグループ会社で、専門領域におけるAI開発を行う株式会社On Technologies（本社：東京都渋谷区、代表：代表取締役 角田 望）は、人事業務を担うAIエージェント「WorkOn（ワークオン...",株式会社On Technologies、株式会社LegalOn Technologies,2,2,1,3,3,3,4,生成AIの業務プロセスへの統合,4,AIエージェントが人事労務業務全体を一気通貫で支援し、複数業務の統合的最適化を実現。
2d886f58ccb7,2026/5/26 12:56,PR TIMES,Senda-Argus: AI Agent / MCP時代の「実行証跡レイヤ」構想を発表,https://prtimes.jp/main/html/rd/p/000000022.000089968.html,2026/5/26,"[RainForest]
株式会社RainForestは、AI Agent / MCP / Local LLM時代に向け、AIが外部ツールや業務システムに対して実行した内容を証跡化する監査基盤「Senda-Argus」の構想および開発方針を発表しました。
生成AIの活用は、...",株式会社RainForest,,,3,,,3,3,コンプライアンス,3,AIの実行内容を証跡化・監査する基盤を構想。AIエージェント時代のコンプライアンス・ガバナンス強化を目指した標準化された仕組みの構築。
4fb152f2db39,2026/5/26 12:56,PR TIMES,2026年版「AI研修サービス カオスマップ」を公開、法人研修からAI駆動開発研修まで整理,https://prtimes.jp/main/html/rd/p/000000017.000178737.html,2026/5/26,"[AI駆動開発協会]
AI駆動開発協会は、AI研修サービスを比較・検討しやすくするため、主要なAI研修サービスを整理した「AI研修サービス カオスマップ(https://aidd.jp/blog/report/ai-training-service-chaos-map/)」を公開しました...",AI駆動開発協会,2,3,,,,,,制度・仕組み,3,AI研修サービスの体系的な分類・整理。法人研修からAI駆動開発研修まで、組織的な教育プログラムの制度化・標準化を支援。
d8aebfef3d25,2026/5/26 12:56,PR TIMES,【“Copilot疲れ”はなぜ起きる？】Microsoft MVPが「AIを最高の社員に変える方法」を7/29解説,https://prtimes.jp/main/html/rd/p/000000146.000001332.html,2026/5/26,"[株式会社イプロス]
「また新しい機能が増えたのか……」
生成AIの進化が加速する中、現場ではいま、“Copilot疲れ”とも言える状態が起き始めています。
AIを導入したはずなのに、「結局、使いこなせる人しか活用できない」「現場に定着...",株式会社イプロス,2,2,,2,,1,1,生成AIの業務プロセスへの統合,1,"""Copilot疲れ""という現場の課題提示。AIツール導入後の使いこなし・定着が属人的・場当たり的な状態を指摘。"
1caff011da6c,2026/5/26 12:56,PR TIMES,SIGQ、プラス、SAMURAI ARCHITECTSと共同で「AI事業開発勉強会」を開催,https://prtimes.jp/main/html/rd/p/000000019.000149500.html,2026/5/26,"[株式会社SIGQ]
インシデントマネジメントに特化したAgentic AI「Incident Lake」を開発する株式会社SIGQ（本社：茨城県つくば市、代表取締役：金築 敬晃、以下「当社」）はプラス株式会社、株式会社SAMURAI ARCHITECTSと共同で...",株式会社SIGQ、プラス株式会社、株式会社SAMURAI ARCHITECTS,2,1,,3,,3,3,生成AI活用対象の業務プロセス,3,インシデント管理業務に特化したAgentic AI。特定業務プロセスの標準化・体系化を実現する生成AI活用事例。
ecd9a0f30801,2026/5/26 12:56,PR TIMES,【導入事例】マーケティングAI OS「ENSOR」、株式会社IBJに導入──ディレクター業務の8割を占めていた広告バナー微修正を企画担当者が自走できる体制へ,https://prtimes.jp/main/html/rd/p/000000199.000060706.html,2026/5/26,"[REHATCH株式会社]
[画像: https://prcdn.freetls.fastly.net/release_image/60706/199/60706-199-8154895930fd0eb1b1b5d7dc6da6524f-1920x1080.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit",REHATCH株式会社、株式会社IBJ,2,2,,3,,2,3,生成AIの業務プロセスへの統合,3,マーケティングAI導入により、バナー微修正業務をディレクターから企画担当者に移管し、業務プロセスを再設計した標準化された取り組み
bc5de51cf82b,2026/5/26 12:56,PR TIMES,「重説4時間を1.6時間に」不動産営業の全業務にAIを実装する、業務分解型eラーニングを提供開始,https://prtimes.jp/main/html/rd/p/000000066.000073863.html,2026/5/26,"[DXHR株式会社]
[画像: https://prcdn.freetls.fastly.net/release_image/73863/66/73863-66-c02092dc285f830a551d55510cf355a0-1672x941.png?width=536&amp;quality=85%2C75&amp;format=jpeg&amp;auto=webp&amp;fit=bound",DXHR株式会社,2,3,,3,,2,3,生成AIの業務プロセスへの統合,3,不動産営業業務にAI実装し、業務分解型eラーニングで標準化。重説時間を大幅削減した全業務統合の事例
